bairro_padronizado;endereco_edificio;logradouro_canonico;total_transacoes;total_revendas;m2_privativo_medio;valor_medio_corrigido;area_privativa_media;latitude;longitude
Aflitos;Rua Manuel De Carvalho, 307 - Aflitos;Rua Manuel De Carvalho;69;63;7146.53;488799.46;69.95;-8.039399;-34.896209
Aflitos;Rua Teles Junior, 155 - Aflitos;Rua Teles Junior;33;16;6183.79;995285.38;160.97;-8.037615;-34.897286
Aflitos;Rua Angustura, 126 - Aflitos;Rua Angustura;32;11;3525.41;162027.98;45.96;-8.041589;-34.896165
Aflitos;Rua Manuel De Carvalho, 310 - Aflitos;Rua Manuel De Carvalho;26;11;6201.57;528933.82;85.28;-8.039575;-34.895595
Aflitos;Rua Angustura, 225 - Aflitos;Rua Angustura;23;12;9193.57;634908.11;69.06;-8.041413;-34.895921
Aflitos;Rua Quarenta E Oito, 560 - Aflitos;Rua Quarenta E Oito;21;12;5620.62;451443.88;80.32;-8.04114;-34.893881
Aflitos;Rua Carneiro Vilela, 510 - Aflitos;Rua Carneiro Vilela;20;11;6344.3;904253.03;142.53;-8.038412;-34.896535
Aflitos;Rua Amapa, 51 - Aflitos;Rua Amapa;17;11;5198.6;363966.85;70.01;-8.040253;-34.893854
Aflitos;Rua Quarenta E Oito, 630 - Aflitos;Rua Quarenta E Oito;17;11;4389.92;449351.76;102.36;-8.040739;-34.894182
Aflitos;Rua Amapa, 27 - Aflitos;Rua Amapa;14;2;7600.52;741278.87;97.53;-8.040053;-34.893606
Aflitos;Rua Teles Junior, 113 - Aflitos;Rua Teles Junior;13;7;4575.26;619398.03;135.38;-8.037864;-34.896708
Aflitos;Rua Amapa, 77 - Aflitos;Rua Amapa;11;2;5897.01;331857.84;56.27;-8.040366;-34.894049
Aflitos;Rua Carneiro Vilela, 486 - Aflitos;Rua Carneiro Vilela;10;4;4388.48;522053.99;118.96;-8.038485;-34.89631
Aflitos;Rua Teles Junior, 217 - Aflitos;Rua Teles Junior;10;5;5248.92;826447.48;157.68;-8.037469;-34.897611
Aflitos;Rua Manuel De Carvalho, 341 - Aflitos;Rua Manuel De Carvalho;9;4;5126.58;1031165.01;201.14;-8.039219;-34.896156
Aflitos;Rua Teles Junior, 105 - Aflitos;Rua Teles Junior;9;5;6906.74;950160.6;137.57;-8.037914;-34.896594
Aflitos;Rua Teles Junior, 65 - Aflitos;Rua Teles Junior;9;3;6949.95;924852.63;133.04;-8.03798;-34.896366
Aflitos;Rua Amapa, 70 - Aflitos;Rua Amapa;8;0;5736.14;577489.58;100.74;-8.039889;-34.894325
Aflitos;Rua Angustura, 104 - Aflitos;Rua Angustura;8;0;5870.3;399381.06;68.28;-8.042009;-34.896871
Aflitos;Rua Carneiro Vilela, 459 - Aflitos;Rua Carneiro Vilela;8;0;9047.08;150250.88;16.61;-8.038962;-34.896256
Aflitos;Rua Manuel De Carvalho, 286 - Aflitos;Rua Manuel De Carvalho;8;4;4312.29;515150.59;118.6;-8.039749;-34.895578
Aflitos;Rua Manuel De Carvalho, 99 - Aflitos;Rua Manuel De Carvalho;8;8;5313.08;1023246.95;192.59;-8.041348;-34.895364
Aflitos;Rua Amapa, 106 - Aflitos;Rua Amapa;7;2;6647.08;740531.73;111.53;-8.04006;-34.894655
Aflitos;Rua Teles Junior, 33 - Aflitos;Rua Teles Junior;7;1;5241.69;767068.39;146.34;-8.038124;-34.896104
Aflitos;Rua Carneiro Vilela, 394 - Aflitos;Rua Carneiro Vilela;5;4;3313.91;287280.34;86.75;-8.03893;-34.895649
