ranking;bairro_padronizado;total_transacoes;preco_m2_medio_corrigido;preco_m2_mediana_corrigida;preco_m2_medio_nominal;indice_normalizado_0_100;z_score;preco_m2_desvio_padrao;area_media_m2;valor_medio_corrigido
1;Alto Santa Terezinha;3;6661.23;6065.14;4324.5;100.0;2.84;4189.88;34.17;205004.01
2;Sao Jose;924;6126.32;5877.24;5171.21;87.44;2.24;2883.61;253.58;1489334.23
3;Jaqueira;308;6117.37;5875.96;4737.96;87.23;2.23;1975.89;219.22;1320409.35
4;Pina;6511;6021.94;5992.46;4584.46;84.99;2.12;2390.01;132.07;836996.83
5;Corrego Do Jenipapo;7;5927.39;5129.71;5174.2;82.77;2.02;3656.35;41.85;229979.67
6;Santo Amaro;4342;5739.77;5659.96;4132.96;78.36;1.81;2252.84;256.96;1373785.92
7;Casa Forte;1297;5635.25;5492.54;4334.03;75.91;1.69;1702.45;215.38;1198972.6
8;Dois Irmaos;2;5498.76;5498.76;4701.3;72.7;1.54;1058.94;1495.0;7833927.82
9;Boa Viagem;40068;5485.25;5253.96;4164.62;72.39;1.52;2029.15;155.76;881836.86
10;Rosarinho;2419;5448.41;5334.9;3950.08;71.52;1.48;1424.83;143.97;783661.45
11;Parnamirim;1714;5429.56;5250.38;4329.38;71.08;1.46;1894.64;213.72;1159703.12
12;Poco;1134;5373.28;5648.29;4058.63;69.76;1.4;1824.78;209.36;1129631.3
13;Madalena;6171;5024.25;4911.45;3725.05;61.56;1.0;1537.31;163.98;820680.55
14;Brejo Da Guabiraba;9;5015.6;3982.57;4076.01;61.36;0.99;3082.72;126.65;920300.57
15;Ilha Do Leite;1383;4977.43;4973.52;3688.44;60.46;0.95;1788.18;140.1;723377.94
16;Torre;4477;4929.7;4910.21;3729.45;59.34;0.9;1438.42;124.01;599243.12
17;Tamarineira;2784;4871.07;4704.16;3681.6;57.96;0.83;1759.03;149.16;742807.45
18;Santana;578;4866.67;4716.77;3734.79;57.86;0.83;2271.87;299.02;1751146.5
19;Espinheiro;3093;4820.39;4772.94;3619.75;56.77;0.77;1658.89;146.48;664537.5
20;Torreao;597;4806.45;5121.06;3630.36;56.45;0.76;1530.29;137.13;600240.16
21;Encruzilhada;4548;4788.89;4828.38;3547.01;56.03;0.74;1370.66;131.9;626764.35
22;Monteiro;1122;4769.31;4817.76;3703.35;55.57;0.72;1738.15;287.69;1360942.48
23;Gracas;4896;4752.23;4649.26;3668.24;55.17;0.7;1665.79;177.89;842505.87
24;Casa Amarela;6037;4677.1;4675.97;3478.02;53.41;0.61;1307.11;126.16;581927.59
25;Imbiribeira;7319;4674.09;4476.55;3616.9;53.34;0.61;1618.44;183.79;904363.62
26;Ilha Do Retiro;981;4668.21;4784.08;3722.46;53.2;0.6;1882.81;225.88;1026530.06
27;Paissandu;807;4612.98;4663.55;3433.37;51.9;0.54;1514.2;98.59;479769.9
28;Jordao;110;4578.21;4211.62;3450.21;51.09;0.5;2506.04;89.25;332362.5
29;Soledade;732;4458.74;4280.88;3530.67;48.28;0.37;1426.64;190.09;913544.25
30;Apipucos;63;4450.39;4410.09;3402.67;48.08;0.36;1398.7;744.53;3120243.05
31;Caxanga;1725;4443.08;4524.8;3443.58;47.91;0.35;960.54;107.04;466769.72
32;Alto Jose Do Pinho;65;4389.6;3483.28;3517.57;46.66;0.29;2461.94;116.25;661916.34
33;Dois Unidos;1345;4384.29;3777.82;4225.04;46.53;0.28;948.49;57.65;239884.22
34;Bomba Do Hemeterio;30;4354.28;4106.06;3267.76;45.83;0.25;2058.17;136.83;558762.18
35;Aflitos;1171;4326.28;4214.26;3270.76;45.17;0.22;1417.28;150.92;649839.08
36;San Martin;879;4321.6;4293.39;3593.1;45.06;0.21;1363.39;160.93;640358.65
37;Recife;443;4205.35;2654.26;3819.48;42.33;0.08;2676.54;464.14;1287101.13
38;Boa Vista;4599;4189.8;4022.96;3296.25;41.97;0.06;1740.18;193.54;761979.93
39;Bongi;254;4183.01;3998.17;2922.77;41.81;0.06;1456.12;114.39;452745.14
40;Derby;387;4163.19;3889.49;3041.52;41.34;0.03;1807.81;199.23;882246.79
41;Agua Fria;446;4077.22;3971.6;3132.33;39.32;-0.06;1532.96;96.08;385040.89
42;Prado;852;4069.73;4092.92;2995.93;39.15;-0.07;1282.62;172.2;664867.83
43;Guabiraba;1195;4031.11;4264.93;3490.48;38.24;-0.11;1245.21;95.76;406017.64
44;Ponto De Parada;264;4027.7;4307.72;2892.58;38.16;-0.12;1187.48;154.52;580035.81
45;Macaxeira;435;4000.2;4016.73;2940.6;37.51;-0.15;1149.23;128.0;517095.11
46;Toto;4;3999.66;3980.9;3334.97;37.5;-0.15;1120.18;79.46;313565.2
