bairro_padronizado;ano_arquivo;total_transacoes;preco_m2_medio_corrigido;preco_m2_mediana_corrigida;preco_m2_medio_nominal
Aflitos;2015;78;6148.31;5946.45;3418.95
Aflitos;2016;67;5318.59;5263.33;3245.48
Aflitos;2017;51;4779.78;4962.95;3026.44
Aflitos;2018;115;4962.11;4870.8;3250.08
Aflitos;2019;161;3767.27;4278.47;2567.3
Aflitos;2020;86;4252.16;4309.14;3011.37
Aflitos;2021;116;4136.46;4100.98;3137.31
Aflitos;2022;97;3805.91;3624.03;3178.83
Aflitos;2023;106;4167.36;3898.06;3630.12
Aflitos;2024;117;3956.95;3737.71;3598.07
Aflitos;2025;110;3886.31;3766.44;3702.27
Aflitos;2026;67;3915.45;3721.11;3883.86
Afogados;2015;58;3463.81;3429.08;1946.4
Afogados;2016;43;4131.24;4059.23;2528.09
Afogados;2017;49;3149.77;3135.43;1991.24
Afogados;2018;34;3144.14;2837.35;2066.55
Afogados;2019;41;3267.15;2882.24;2228.59
Afogados;2020;36;2742.68;2635.47;1932.62
Afogados;2021;58;2813.53;2470.22;2160.76
Afogados;2022;329;3797.49;4153.11;3160.17
Afogados;2023;87;3325.45;2840.18;2901.9
Afogados;2024;70;2618.28;2300.76;2368.87
Afogados;2025;63;2752.05;2635.2;2622.73
Afogados;2026;31;2409.9;2331.0;2378.31
Agua Fria;2015;26;4322.55;4097.67;2422.31
Agua Fria;2016;25;3944.18;3947.91;2406.41
Agua Fria;2017;15;3984.71;3349.07;2524.03
Agua Fria;2018;20;3644.59;3204.06;2395.96
Agua Fria;2019;21;4060.91;3423.6;2766.54
Agua Fria;2020;80;4943.02;5005.0;3474.16
Agua Fria;2021;66;3990.06;4250.13;3039.35
Agua Fria;2022;41;3633.3;3565.05;3020.39
Agua Fria;2023;60;3843.55;3350.22;3338.45
Agua Fria;2024;47;3881.35;3291.74;3522.38
Agua Fria;2025;33;3717.83;3361.38;3521.65
Agua Fria;2026;12;3835.94;3903.69;3797.11
Alto Do Mandu;2015;4;3323.79;3606.05;1832.01
Alto Do Mandu;2016;3;3096.55;3118.89;1891.34
Alto Do Mandu;2017;2;2288.48;2288.48;1463.42
Alto Do Mandu;2018;1;1203.72;1203.72;779.96
Alto Do Mandu;2019;2;2624.43;2624.43;1761.2
Alto Do Mandu;2020;2;2358.75;2358.75;1659.73
Alto Do Mandu;2021;3;2706.34;2750.99;2002.16
Alto Do Mandu;2022;5;3054.19;2765.63;2513.03
Alto Do Mandu;2023;4;2236.43;2066.22;1936.64
Alto Do Mandu;2024;2;6251.94;6251.94;5576.18
Alto Do Mandu;2025;3;1654.92;1983.13;1564.65
Alto Do Mandu;2026;1;2139.65;2139.65;2108.3
Alto Jose Bonifacio;2015;5;3435.32;2812.61;1935.72
Alto Jose Bonifacio;2016;2;2355.26;2355.26;1435.41
Alto Jose Bonifacio;2017;1;2237.21;2237.21;1405.15
Alto Jose Bonifacio;2021;3;3020.49;3723.87;2354.32
Alto Jose Bonifacio;2022;2;4521.4;4521.4;3772.22
Alto Jose Bonifacio;2023;2;7447.68;7447.68;6507.23
Alto Jose Bonifacio;2024;2;1794.01;1794.01;1642.08
Alto Jose Bonifacio;2025;3;5847.39;5209.78;5600.93
Alto Jose Do Pinho;2015;4;2214.92;2241.28;1219.8
Alto Jose Do Pinho;2016;7;3253.57;2913.33;1990.01
Alto Jose Do Pinho;2017;4;3884.59;3427.99;2463.15
Alto Jose Do Pinho;2018;4;4986.04;4020.63;3293.71
Alto Jose Do Pinho;2019;4;3994.21;3821.84;2723.13
Alto Jose Do Pinho;2020;5;3905.31;3581.96;2725.19
Alto Jose Do Pinho;2021;5;4411.33;3382.99;3501.29
Alto Jose Do Pinho;2022;5;5472.47;4318.06;4560.05
