ranking;bairro_padronizado;total_transacoes;preco_m2_medio;preco_m2_mediana;indice_normalizado_0_100;z_score_m2;preco_m2_desvio_padrao;area_media_m2;valor_medio
1;Sao Jose;902;5065.84;4901.27;100.0;2.77;2514.49;254.7;1214614.27
2;Dois Irmaos;2;4701.3;4701.3;88.62;2.23;1023.99;1495.0;6654500.0
3;Jaqueira;304;4643.11;4457.14;86.8;2.14;1325.31;217.69;1008779.97
4;Santo Amaro;4674;4522.22;4317.58;83.03;1.97;1963.76;247.92;996032.66
5;Pina;6444;4498.19;4547.17;82.28;1.93;1695.18;132.39;620377.49
6;Parnamirim;1720;4340.26;4012.49;77.35;1.7;1661.13;213.01;921854.5
7;Alto Santa Terezinha;3;4324.5;3636.36;76.86;1.68;2406.39;34.17;132375.2
8;Casa Forte;1292;4308.37;4123.53;76.36;1.65;1399.3;215.28;911012.29
9;Dois Unidos;1346;4235.8;3599.1;74.09;1.54;1049.94;57.69;231043.4
10;Corrego Do Jenipapo;6;4169.9;4083.33;72.03;1.45;2408.88;42.16;163333.33
11;Boa Viagem;39841;4124.97;3917.26;70.63;1.38;1504.02;154.72;654428.75
12;Poco;1107;4095.39;4093.02;69.71;1.34;1426.53;206.52;862673.78
13;Rosarinho;2421;3954.89;3933.66;65.32;1.13;936.19;143.94;569778.48
14;Ilha Do Retiro;956;3816.12;3581.9;60.99;0.93;1666.04;227.19;861017.56
15;Madalena;6159;3734.08;3637.38;58.43;0.81;1180.67;164.02;622597.13
16;Recife;436;3729.9;2557.22;58.3;0.8;2434.08;413.97;984861.95
17;Torre;4472;3716.71;3647.65;57.89;0.78;1057.2;124.0;451268.01
18;Monteiro;1120;3708.8;3575.32;57.64;0.77;1520.07;287.89;1048872.47
19;Ilha Do Leite;1385;3691.71;3729.33;57.11;0.74;1214.57;139.94;519804.82
20;Tamarineira;2785;3680.62;3530.4;56.76;0.73;1307.23;149.38;563599.47
21;Santana;574;3678.25;3520.2;56.69;0.72;1870.51;300.25;1354846.59
22;Gracas;4880;3650.59;3585.53;55.82;0.68;1178.81;177.59;658473.68
23;Torreao;597;3630.36;3955.47;55.19;0.65;1074.89;137.13;449481.96
24;Espinheiro;3103;3624.7;3540.01;55.01;0.64;1152.1;146.75;511870.06
25;Imbiribeira;7321;3617.19;3579.85;54.78;0.63;1217.55;182.96;688497.12
26;San Martin;878;3584.19;3289.47;53.75;0.59;1343.61;155.74;441335.43
27;Encruzilhada;4547;3540.96;3518.23;52.4;0.52;972.89;132.74;467756.53
28;Soledade;732;3530.67;3324.65;52.08;0.51;1115.26;190.09;709694.66
29;Alto Jose Do Pinho;65;3517.57;2964.85;51.67;0.49;2258.45;116.25;556207.76
30;Casa Amarela;6034;3476.82;3504.49;50.4;0.43;897.76;126.09;436430.73
31;Caxanga;1726;3451.69;3203.72;49.61;0.39;923.25;107.01;357285.23
32;Jordao;110;3450.21;3033.01;49.57;0.39;1975.66;89.25;260965.19
33;Guabiraba;1189;3416.3;3827.52;48.51;0.34;975.11;96.57;335501.16
34;Paissandu;807;3407.99;3629.87;48.25;0.33;878.86;97.39;353116.99
35;Apipucos;63;3402.67;3256.15;48.08;0.32;1097.57;744.53;2490216.31
36;Toto;4;3334.97;3044.74;45.97;0.22;1114.39;79.46;259896.8
37;Boa Vista;4625;3266.0;3092.78;43.82;0.12;1453.78;192.11;590294.95
38;Brejo Da Guabiraba;8;3262.8;2989.92;43.72;0.11;1489.55;85.1;271962.64
39;Aflitos;1169;3258.7;3236.9;43.59;0.11;974.77;150.73;495494.15
40;Beberibe;18;3239.06;2675.32;42.98;0.08;2370.28;188.29;450990.84
41;Bomba Do Hemeterio;30;3213.54;2777.02;42.18;0.04;1653.67;135.36;418898.67
42;Zumbi;222;3166.03;3124.92;40.7;-0.03;1154.35;130.58;398519.07
43;Sitio Dos Pintos;27;3157.96;2961.72;40.44;-0.04;1447.17;332.07;968659.08
44;Varzea;6476;3154.57;3022.4;40.34;-0.05;979.6;108.11;311740.1
45;Vasco Da Gama;871;3153.89;2511.11;40.32;-0.05;1229.43;71.36;215198.96
46;Hipodromo;268;3151.43;3186.81;40.24;-0.05;928.48;147.63;431663.79
47;Campo Grande;1995;3091.68;2912.53;38.38;-0.14;988.48;127.45;390989.56
48;Derby;393;3084.73;2935.74;38.16;-0.15;1237.74;205.06;691150.35
49;Alto Jose Bonifacio;20;3083.17;2043.91;38.11;-0.15;2408.02;61.22;148925.0
50;Agua Fria;443;3078.64;3093.36;37.97;-0.16;1057.69;95.88;290780.31
51;Jardim Sao Paulo;1481;3021.38;3132.17;36.18;-0.24;967.33;131.04;437274.63
52;Indefinido;1;3015.06;3015.06;35.98;-0.25;;2000.0;6030130.0
53;Iputinga;3190;3009.25;2859.1;35.8;-0.26;977.49;115.66;329723.51
54;Cacote;6;3003.0;3515.41;35.61;-0.27;1512.47;6403.53;25629248.28
55;Prado;853;2993.39;2991.99;35.31;-0.28;847.76;172.12;503387.67
56;Barro;1034;2980.36;2902.21;34.9;-0.3;827.74;108.26;309566.93
57;Coelhos;397;2948.49;2849.41;33.91;-0.35;1045.58;107.53;317922.83
58;Macaxeira;435;2940.6;2916.71;33.66;-0.36;941.32;128.0;384435.27
59;Cordeiro;3228;2922.44;2759.98;33.09;-0.39;886.87;113.03;316606.7
60;Fundao;168;2920.29;2816.97;33.03;-0.39;1108.32;95.53;300413.44
61;Ponto De Parada;264;2892.58;3059.05;32.16;-0.43;815.43;154.52;420631.77
62;Bongi;253;2891.51;3000.82;32.13;-0.43;919.75;114.6;314422.3
63;Passarinho;716;2855.59;2801.91;31.01;-0.49;170.44;72.57;204481.95
64;Coqueiral;12;2812.39;2583.56;29.66;-0.55;1032.2;85.95;219493.68
65;Cohab   Ibura;136;2809.08;2247.01;29.55;-0.56;1612.27;56.72;142532.76
66;Morro Da Conceicao;33;2734.55;2818.18;27.23;-0.67;1476.33;67.48;175224.3
67;Curado;246;2694.32;2576.3;25.97;-0.73;673.25;69.63;196264.07
68;Torroes;120;2663.35;2334.96;25.01;-0.77;1256.58;157.95;423464.25
69;Mangueira;21;2661.59;2366.33;24.95;-0.77;1834.62;118.52;271020.69
70;Cajueiro;124;2652.01;2443.37;24.65;-0.79;1171.1;129.11;308935.86
71;Afogados;898;2641.41;2481.3;24.32;-0.8;1013.0;358.22;847747.34
72;Cohab;154;2629.09;2060.96;23.94;-0.82;1651.83;58.77;130018.62
73;Engenho Do Meio;449;2600.4;2553.68;23.04;-0.86;911.82;117.64;287532.65
74;Brasilia Teimosa;15;2588.07;2039.4;22.66;-0.88;1568.45;62.35;159393.73
75;Arruda;508;2576.83;2287.68;22.3;-0.9;1065.54;130.15;366723.85
76;Sancho;87;2535.93;2380.95;21.03;-0.96;1184.04;81.42;223540.91
77;Campina Do Barreto;589;2526.74;2411.78;20.74;-0.97;570.91;92.52;225456.57
78;Tejipio;1041;2518.42;2476.18;20.48;-0.98;557.44;85.26;213812.67
79;Estancia;116;2487.23;2132.86;19.51;-1.03;1477.71;373.21;892288.19
80;Ipsep;936;2454.73;2261.14;18.49;-1.08;1052.32;160.86;344733.34
81;Mangabeira;107;2447.71;2383.6;18.27;-1.09;678.31;74.45;177621.64
82;Porto Da Madeira;204;2413.22;2296.74;17.2;-1.14;693.69;81.79;191313.64
83;Linha Do Tiro;51;2404.96;2262.91;16.94;-1.15;1098.16;74.15;176087.23
84;Cabanga;50;2313.57;2103.94;14.09;-1.29;985.05;163.47;327271.66
85;Nova Descoberta;53;2263.18;2000.0;12.51;-1.36;1494.99;79.18;157503.84
86;Areias;862;2204.51;2052.97;10.68;-1.45;828.33;158.64;494614.91
87;Brejo De Beberibe;22;2159.08;1569.23;9.26;-1.51;1794.6;120.73;186554.12
88;Santo Antonio;790;2138.9;1697.11;8.63;-1.54;1557.82;214.92;532615.16
89;Jiquia;60;2104.33;1986.92;7.56;-1.59;807.28;209.17;408617.88
90;Alto Do Mandu;33;2077.17;1952.21;6.71;-1.63;1342.93;151.73;307121.21
91;Ibura;605;2069.37;1790.38;6.46;-1.65;927.0;130.36;295058.93
92;Mustardinha;28;1862.29;1620.93;0.0;-1.95;976.55;871.05;1272057.06
