bairro_padronizado;ano_arquivo;total_transacoes;preco_m2_medio;preco_m2_mediana
Aflitos;2015;78;3418.95;3255.35
Aflitos;2016;67;3245.48;3201.98
Aflitos;2017;51;3026.44;3139.31
Aflitos;2018;115;3250.08;3182.8
Aflitos;2019;161;2567.3;2892.73
Aflitos;2020;86;3011.37;3121.35
Aflitos;2021;116;3137.31;3060.95
Aflitos;2022;97;3178.83;3039.05
Aflitos;2023;105;3566.41;3371.21
Aflitos;2024;116;3540.12;3376.08
Aflitos;2025;110;3702.27;3587.78
Aflitos;2026;67;3883.86;3660.89
Afogados;2015;58;1946.39;1917.79
Afogados;2016;43;2528.09;2412.01
Afogados;2017;49;1991.24;1977.0
Afogados;2018;33;2109.09;1882.35
Afogados;2019;41;2228.59;1966.3
Afogados;2020;36;1932.62;1841.66
Afogados;2021;58;2160.76;1922.61
Afogados;2022;329;3160.17;3454.9
Afogados;2023;87;2901.9;2466.47
Afogados;2024;70;2368.87;2052.0
Afogados;2025;63;2622.73;2483.85
Afogados;2026;31;2378.31;2331.0
Agua Fria;2015;26;2422.31;2271.61
Agua Fria;2016;25;2406.41;2454.74
Agua Fria;2017;15;2524.03;2107.57
Agua Fria;2018;20;2395.96;2088.31
Agua Fria;2019;21;2766.54;2297.6
Agua Fria;2020;80;3474.16;3511.24
Agua Fria;2021;66;3039.35;3277.64
Agua Fria;2022;41;3020.39;2985.07
Agua Fria;2023;58;3076.41;2901.95
Agua Fria;2024;46;3353.06;2941.7
Agua Fria;2025;33;3521.65;3218.39
Agua Fria;2026;12;3797.11;3888.79
Alto Do Mandu;2015;4;1832.01;1996.18
Alto Do Mandu;2016;3;1891.34;1920.77
Alto Do Mandu;2017;2;1463.42;1463.42
Alto Do Mandu;2018;1;779.96;779.96
Alto Do Mandu;2019;2;1761.2;1761.2
Alto Do Mandu;2020;2;1659.73;1659.73
Alto Do Mandu;2021;3;2002.16;2019.83
Alto Do Mandu;2022;5;2513.03;2222.22
Alto Do Mandu;2023;5;1693.96;1359.83
Alto Do Mandu;2024;2;5576.18;5576.18
Alto Do Mandu;2025;3;1564.64;1865.89
Alto Do Mandu;2026;1;2108.3;2108.3
Alto Jose Bonifacio;2015;5;1935.72;1634.62
Alto Jose Bonifacio;2016;2;1435.41;1435.41
Alto Jose Bonifacio;2017;1;1405.15;1405.15
Alto Jose Bonifacio;2021;3;2354.31;2954.55
Alto Jose Bonifacio;2022;2;3772.22;3772.22
Alto Jose Bonifacio;2023;2;6507.23;6507.23
Alto Jose Bonifacio;2024;2;1642.09;1642.09
Alto Jose Bonifacio;2025;3;5600.93;5011.09
Alto Jose Do Pinho;2015;4;1219.8;1245.16
Alto Jose Do Pinho;2016;7;1990.01;1784.9
Alto Jose Do Pinho;2017;4;2463.15;2184.64
Alto Jose Do Pinho;2018;4;3293.71;2654.91
Alto Jose Do Pinho;2019;4;2723.13;2596.78
Alto Jose Do Pinho;2020;5;2725.19;2500.0
