ranking;bairro_padronizado;total_transacoes;m2_privativo_medio;m2_privativo_mediana;m2_total_medio_corrigido;indice_normalizado_0_100;z_score;area_privativa_media;valor_medio_corrigido
1;Jaqueira;309;8536.14;8236.21;6146.5;100.0;2.26;161.26;1318762.01
2;Pina;6338;8315.02;8468.3;5847.02;96.3;2.11;94.54;796668.93
3;Sao Jose;917;8178.98;7512.17;6209.59;94.02;2.01;199.06;1479222.38
4;Casa Forte;1300;7898.82;7863.08;5656.82;89.33;1.82;159.68;1201624.58
5;Rosarinho;2422;7870.51;7759.58;5461.02;88.86;1.8;102.23;784197.93
6;Boa Viagem;39673;7730.92;7528.97;5429.44;86.52;1.7;111.52;858646.5
7;Parnamirim;1721;7631.27;7386.11;5459.98;84.85;1.63;157.48;1153676.64
8;Santo Amaro;4723;7622.0;8318.59;6339.7;84.7;1.63;205.39;1404851.68
9;Poco;1136;7426.88;7894.12;5379.64;81.43;1.49;160.24;1131696.37
10;Torre;4421;7078.58;7107.94;4981.12;75.6;1.25;86.92;603391.59
11;Madalena;6214;7061.88;6996.78;5006.51;75.32;1.24;120.9;817637.64
12;Ilha Do Leite;1384;7035.89;7104.71;4974.5;74.89;1.22;105.02;722898.02
13;Alto Santa Terezinha;3;6972.48;6065.14;6661.23;73.83;1.18;31.42;205004.01
14;Monteiro;1122;6880.21;6981.33;4769.15;72.28;1.12;201.41;1361055.11
15;Tamarineira;2781;6844.25;6640.93;4863.57;71.68;1.09;108.87;739800.33
16;Torreao;597;6781.69;7466.62;4806.45;70.63;1.05;102.75;600240.16
17;Corrego Do Jenipapo;7;6761.85;6412.14;5927.39;70.3;1.04;39.28;229979.67
18;Encruzilhada;4555;6746.74;6827.77;4819.14;70.05;1.03;98.69;636085.48
19;Espinheiro;3099;6731.83;6684.74;4821.99;69.8;1.02;108.4;663889.66
20;Gracas;4909;6605.18;6538.35;4771.44;67.68;0.93;132.7;849732.83
21;Imbiribeira;7320;6556.23;6375.68;4681.71;66.86;0.89;147.85;903085.41
22;Ilha Do Retiro;1000;6529.52;6891.9;4637.52;66.41;0.88;171.62;1032379.98
23;Casa Amarela;6010;6529.23;6636.6;4689.77;66.41;0.88;93.75;585373.7
24;Paissandu;808;6512.73;6609.0;4608.34;66.13;0.86;73.09;479302.83
25;Dois Unidos;1347;6453.71;5555.99;4401.3;65.14;0.82;39.8;241691.87
26;Santana;576;6384.94;6339.88;4838.22;63.99;0.78;245.57;1750735.96
27;Caxanga;1721;6319.29;6550.83;4476.63;62.89;0.73;77.58;472502.68
28;Soledade;732;6146.96;5882.8;4462.41;60.01;0.61;156.49;958214.93
29;Aflitos;1171;5908.14;5802.76;4339.87;56.01;0.45;113.24;654540.07
30;Recife;443;5752.85;3902.57;4204.87;53.41;0.34;371.73;1281353.33
31;Ponto De Parada;264;5724.25;6309.44;4027.7;52.93;0.32;113.7;580035.81
32;Guabiraba;1225;5688.19;5829.73;4285.89;52.33;0.3;76.66;399641.15
33;Boa Vista;4605;5662.03;5374.46;4192.3;51.89;0.28;151.37;766023.14
34;San Martin;878;5650.42;5706.82;4325.17;51.7;0.27;126.95;640853.23
35;Apipucos;63;5630.78;5567.5;4450.39;51.37;0.26;611.36;3120243.05
36;Brejo Da Guabiraba;9;5573.05;4810.29;5015.6;50.4;0.22;112.47;920300.57
37;Dois Irmaos;2;5498.76;5498.76;5498.76;49.16;0.17;1495.0;7833927.82
38;Derby;386;5423.55;5211.74;4084.61;47.9;0.11;149.24;802840.57
39;Bongi;253;5404.71;5316.26;4195.57;47.58;0.1;96.17;454328.01
40;Prado;852;5396.88;5610.58;4069.47;47.45;0.1;137.23;664572.34
41;Barro;1032;5386.66;5010.54;3949.8;47.28;0.09;83.07;413874.8
42;Varzea;6483;5367.75;5260.04;3869.65;46.96;0.08;80.44;390015.66
43;Campo Grande;1988;5274.72;5209.03;3925.07;45.41;0.01;99.86;498569.66
44;Jardim Sao Paulo;1481;5237.54;5264.26;3927.84;44.78;-0.01;106.24;542711.12
45;Cordeiro;3218;5226.53;4990.15;3944.23;44.6;-0.02;90.98;424602.13
