bairro_padronizado;ano_arquivo;total_transacoes;m2_privativo_medio;m2_privativo_mediana
Aflitos;2015;78;8360.64;8000.78
Aflitos;2016;67;7381.36;7571.91
Aflitos;2017;51;6653.42;6699.23
Aflitos;2018;115;6709.27;6879.95
Aflitos;2019;159;5179.53;5942.34
Aflitos;2020;86;5855.16;5932.05
Aflitos;2021;117;5795.08;5726.21
Aflitos;2022;97;5202.83;5090.98
Aflitos;2023;106;5520.86;5316.93
Aflitos;2024;118;5417.35;5224.75
Aflitos;2025;110;5393.88;5308.48
Aflitos;2026;67;4974.47;4836.95
Afogados;2015;58;3951.51;4041.77
Afogados;2016;42;4825.34;4575.37
Afogados;2017;49;3576.16;3681.78
Afogados;2018;34;3674.07;3592.53
Afogados;2019;41;3640.41;3204.78
Afogados;2020;36;2972.63;3074.66
Afogados;2021;58;3550.07;2989.02
Afogados;2022;328;4820.49;5537.48
Afogados;2023;85;3714.44;3218.69
Afogados;2024;68;3015.92;2659.69
Afogados;2025;63;3124.11;2752.58
Afogados;2026;29;2865.16;2801.29
Agua Fria;2015;26;5005.78;5155.35
Agua Fria;2016;25;4170.27;4205.8
Agua Fria;2017;15;4749.92;4651.77
Agua Fria;2018;20;4045.45;3680.07
Agua Fria;2019;21;4313.42;3516.07
Agua Fria;2020;80;6735.67;6908.18
Agua Fria;2021;67;5316.68;5854.03
Agua Fria;2022;41;4467.84;4158.67
Agua Fria;2023;60;4519.61;4373.88
Agua Fria;2024;47;4559.92;4349.58
Agua Fria;2025;33;4609.17;4440.23
Agua Fria;2026;12;4470.6;4223.42
Alto Do Mandu;2015;4;3592.35;3606.05
Alto Do Mandu;2016;3;3096.55;3118.89
Alto Do Mandu;2017;2;2288.48;2288.48
Alto Do Mandu;2019;2;2624.43;2624.43
Alto Do Mandu;2020;2;2358.75;2358.75
Alto Do Mandu;2021;3;2706.34;2750.99
Alto Do Mandu;2022;5;3054.19;2765.63
Alto Do Mandu;2023;4;2236.43;2066.22
Alto Do Mandu;2024;2;6251.94;6251.94
Alto Do Mandu;2025;2;1983.13;1983.13
Alto Do Mandu;2026;1;2139.65;2139.65
Alto Jose Bonifacio;2015;5;3580.01;2893.91
Alto Jose Bonifacio;2016;2;2855.46;2855.46
Alto Jose Bonifacio;2017;1;2237.21;2237.21
Alto Jose Bonifacio;2021;4;5716.08;3765.06
Alto Jose Bonifacio;2022;2;5364.87;5364.87
Alto Jose Bonifacio;2023;2;9930.25;9930.25
Alto Jose Bonifacio;2024;2;1794.01;1794.01
Alto Jose Bonifacio;2025;3;5847.39;5209.78
Alto Jose Do Pinho;2015;4;2214.92;2241.28
Alto Jose Do Pinho;2016;7;3385.85;3129.53
Alto Jose Do Pinho;2017;4;3884.59;3427.99
Alto Jose Do Pinho;2018;4;5207.1;4462.74
Alto Jose Do Pinho;2019;4;4688.64;4102.17
Alto Jose Do Pinho;2020;5;4312.27;3581.96
Alto Jose Do Pinho;2021;5;5239.28;4228.59
Alto Jose Do Pinho;2022;5;5601.34;4318.06
Alto Jose Do Pinho;2023;7;5245.54;4595.59
Alto Jose Do Pinho;2024;10;6047.76;4883.76
Alto Jose Do Pinho;2025;5;5293.28;4441.52
Alto Jose Do Pinho;2026;5;3756.54;2316.44
Alto Santa Terezinha;2016;1;6065.14;6065.14
Alto Santa Terezinha;2017;1;11117.23;11117.23
Alto Santa Terezinha;2022;1;3735.08;3735.08
Apipucos;2015;8;6669.57;6935.8
Apipucos;2016;5;6288.32;5646.4
Apipucos;2017;4;6912.55;7339.23
Apipucos;2018;1;8389.81;8389.81
Apipucos;2019;1;7787.97;7787.97
Apipucos;2020;3;5704.29;6211.5
Apipucos;2021;7;4790.75;4695.11
Apipucos;2022;8;6654.38;5921.96
Apipucos;2023;10;4921.7;5842.75
