ranking;bairro_padronizado;edificios_recuperados;transacoes_recuperadas;m2_privativo_medio_bairro;valor_medio_imovel
1;Boa Viagem;971;12379;7112.34;1234677.7
2;Madalena;220;2214;6612.51;1686572.57
3;Pina;103;1922;8416.07;1284095.39
4;Varzea;220;1851;4345.57;922735.11
5;Casa Amarela;206;1840;8303.27;1035981.26
6;Imbiribeira;220;1759;4697.11;1413105.92
7;Torre;102;1574;6237.59;729656.3
8;Santo Amaro;138;1538;4208.58;1076339.68
9;Gracas;166;1136;6249.97;2060125.2
10;Espinheiro;126;1097;7002.44;1128291.28
11;Encruzilhada;149;964;4826.32;607049.4
12;Iputinga;213;847;4314.58;509017.11
13;Tamarineira;110;762;5691.2;903179.59
14;Boa Vista;151;758;4936.36;2236444.93
15;Cordeiro;220;691;3766.34;464674.62
16;Tejipio;24;650;4046.11;1056888.12
17;Monteiro;34;583;9002.35;1896732.81
18;Campo Grande;90;561;4325.4;502500.68
19;Caxanga;27;535;10950.52;815152.94
20;Rosarinho;38;486;6872.15;869064.27
21;Ilha Do Leite;37;480;8033.68;2747605.11
22;Aflitos;59;469;5588.88;876081.21
23;Parnamirim;62;398;6933.98;1391484.11
24;Jardim Sao Paulo;97;345;4351.2;639953.84
25;Poco;56;334;6535.03;1705223.52
26;Ibura;80;326;4464.46;993486.95
27;Casa Forte;58;324;6459.73;1126056.13
28;Areias;57;314;3062.95;431541.5
29;Dois Unidos;3;254;6314.79;237398.4
30;Soledade;18;251;4031.94;2307479.88
31;Vasco Da Gama;32;250;5445.34;590258.31
32;Sao Jose;49;248;4866.47;752253.92
33;Ipsep;126;221;3721.43;462511.14
34;Prado;62;209;3848.47;684904.06
35;Arruda;45;207;3864.22;686567.91
36;San Martin;67;181;4021.95;357073.45
37;Afogados;101;162;3018.82;845337.9
38;Barro;41;155;4486.34;532981.34
39;Ilha Do Retiro;29;153;10259.25;1728564.62
40;Derby;32;140;5806.15;2232617.48
41;Santana;24;123;5598.61;1635794.28
42;Agua Fria;57;117;4605.84;527810.35
43;Torreao;17;104;4777.99;1285305.71
44;Santo Antonio;27;90;3853.23;1004670.73
45;Paissandu;19;84;6218.29;1496614.74
46;Jaqueira;15;82;8458.73;1903009.29
47;Macaxeira;10;78;4674.23;2138318.55
48;Campina Do Barreto;10;78;5369.68;377149.34
49;Curado;12;65;3524.37;401629.81
50;Fundao;17;63;4425.62;491748.27
51;Recife;27;62;5427.52;1443152.56
52;Engenho Do Meio;38;58;3248.85;441518.25
53;Hipodromo;26;58;4254.72;707050.63
54;Cohab;46;55;3262.15;147192.47
55;Jordao;43;54;4422.83;407202.38
56;Cajueiro;38;51;3776.91;426239.99
57;Zumbi;20;50;4071.16;430643.39
58;Coelhos;12;48;6980.09;736255.87
59;Bongi;19;47;3708.29;511280.05
60;Cohab   Ibura;32;47;2812.72;153755.7
61;Mangabeira;4;47;3737.88;175761.75
62;Ponto De Parada;4;46;3986.01;383630.97
63;Torroes;36;44;3472.17;471728.57
64;Apipucos;8;37;3983.41;6048488.21
65;Linha Do Tiro;12;32;5170.28;616452.39
66;Estancia;27;31;2526.9;668643.32
67;Guabiraba;8;24;4393.12;1121312.24
68;Porto Da Madeira;5;24;3814.63;321315.6
69;Bomba Do Hemeterio;9;23;7266.63;756617.22
70;Alto Jose Do Pinho;11;18;5113.9;472189.78
71;Mustardinha;11;14;2053.92;400058.24
72;Jiquia;12;13;2481.29;823002.45
73;Nova Descoberta;11;11;4644.2;169988.78
74;Alto Do Mandu;8;10;3360.33;541336.6
75;Cabanga;7;9;2765.5;298912.38
76;Brasilia Teimosa;6;8;3829.49;129687.29
77;Passarinho;4;6;2925.65;447057.95
78;Morro Da Conceicao;5;5;3563.2;163932.23
79;Mangueira;4;4;2779.25;231944.28
80;Brejo De Beberibe;4;4;1994.5;128836.69
81;Sitio Dos Pintos;3;3;5300.24;1089753.88
82;Dois Irmaos;1;3;56594.77;5036934.36
83;Beberibe;2;2;10215.47;665466.45
84;Sancho;2;2;4457.62;342650.66
85;Toto;2;2;14797.69;416776.49
86;Alto Jose Bonifacio;2;2;2504.6;192842.52
87;Coqueiral;1;2;3932.35;283128.94
88;Brejo Da Guabiraba;1;1;1807.14;165895.8
89;Alto Santa Terezinha;1;1;6065.14;300224.29
90;Indefinido;1;1;4144.57;6216860.68
91;Corrego Do Jenipapo;1;1;6965.64;111450.21
