endereco_edificio;bairro_padronizado;logradouro_fmt;numero_fmt;total_transacoes;m2_privativo_medio;m2_privativo_mediana;valor_medio_corrigido;valor_min_corrigido;valor_max_corrigido;area_privativa_media;latitude;longitude
Av Republica Do Libano, 251 - Pina;Pina;Av Republica Do Libano;251;2032;7347.24;7809.46;667953.99;33898.24;41178451.97;94.3;-8.085739;-34.894199
Rua Le Parc, 100 - Imbiribeira;Imbiribeira;Rua Le Parc;100;1448;10096.7;10137.3;1514398.34;63583.34;2831820.26;149.74;-8.109994;-34.903453
Av Governador Agamenon Magalhaes, 153 - Santo Amaro;Santo Amaro;Av Governador Agamenon Magalhaes;153;1261;10177.64;8601.47;2795405.82;67461.25;408268978.04;360.48;-8.038057;-34.871782
Rua Dois De Julho, 251 - Santo Amaro;Santo Amaro;Rua Dois De Julho;251;944;8565.94;8564.92;604285.55;59589.65;985977.79;70.11;-8.04464;-34.87695
Rua Maria Carolina, 661 - Boa Viagem;Boa Viagem;Rua Maria Carolina;661;788;6524.42;6771.41;344535.85;55298.52;838396.23;53.75;-8.113154;-34.899229
Rua Rodrigues Ferreira, 45 - Varzea;Varzea;Rua Rodrigues Ferreira;45;751;5114.78;5086.16;284285.12;84269.45;453651.51;55.58;-8.033153;-34.953716
4Tr Pereira Barreto, 80 - Passarinho;Passarinho;4Tr Pereira Barreto;80;712;4548.03;4540.22;220352.12;205694.79;278499.79;48.45;-8.0578;-34.8829
Rua Amalia Bernardino De Souza, 532 - Boa Viagem;Boa Viagem;Rua Amalia Bernardino De Souza;532;651;8025.5;8101.6;650178.94;103537.28;992992.75;81.16;-8.126197;-34.908838
Rua Ministro Mario Andreazza, 1000 - Varzea;Varzea;Rua Ministro Mario Andreazza;1000;594;4672.82;4649.27;258668.97;221130.49;277078.8;55.39;-8.066805;-34.983601
Rua Antonio Eduardo Amorim, 141 - Imbiribeira;Imbiribeira;Rua Antonio Eduardo Amorim;141;589;7096.97;7094.03;251039.83;236497.73;301775.06;35.41;-8.106175;-34.909222
Rua Dona Ines Correa De Araujo, 156 - Caxanga;Caxanga;Rua Dona Ines Correa De Araujo;156;557;6819.64;6977.04;525226.6;295206.5;1092593.0;77.17;-8.03161;-34.953288
Av Da Recuperacao, 6171 - Guabiraba;Guabiraba;Av Da Recuperacao;6171;548;6050.46;6103.79;206987.58;82153.61;238607.83;34.21;-8.000694;-34.936343
Av Hildebrando De Vasconcelos, 1088 - Dois Unidos;Dois Unidos;Av Hildebrando De Vasconcelos;1088;533;8093.75;8237.12;251025.54;232000.0;286193.01;31.15;-8.0578;-34.8829
Av Recife, 4316 - Areias;Areias;Av Recife;4316;529;3305.64;3222.61;206423.46;90534.83;317812.88;62.6;-8.095612;-34.926979
Rua Faustino Porto, 458 - Boa Viagem;Boa Viagem;Rua Faustino Porto;458;499;7101.46;8222.82;304008.15;48634.72;1028985.53;41.99;-8.117418;-34.898547
Rua Antonio Valdevino Costa, 280 - Cordeiro;Cordeiro;Rua Antonio Valdevino Costa;280;489;4837.55;4604.58;353334.51;43116.74;540299.79;73.04;-8.058335;-34.927104
Rua Dom Pedro Henrique, 248 - Santo Amaro;Santo Amaro;Rua Dom Pedro Henrique;248;482;7711.64;7715.79;445411.85;265711.01;565410.1;58.48;-8.052028;-34.888657
Rua Francisco Leopoldino, 633 - Varzea;Varzea;Rua Francisco Leopoldino;633;441;3681.18;3687.01;208594.76;106912.48;240168.0;56.68;-8.040274;-34.95124
Rua Emiliano Braga, 1069 - Varzea;Varzea;Rua Emiliano Braga;1069;433;7650.2;7744.33;267456.31;230027.68;273147.83;34.99;-8.0381;-34.94656
Av Padre Ibiapina, 420 - Tejipio;Tejipio;Av Padre Ibiapina;420;424;5650.94;5790.27;312873.5;103096.63;384725.49;55.36;-8.090523;-34.951295
Av Engenheiro Jose Estelita, 862 - Sao Jose;Sao Jose;Av Engenheiro Jose Estelita;862;417;10467.95;11762.84;1531117.43;154894.51;7254316.63;139.32;-8.072834;-34.887812
Rua Coronel Anizio Rodrigues Coelho, 660 - Boa Viagem;Boa Viagem;Rua Coronel Anizio Rodrigues Coelho;660;417;7228.42;7120.97;293126.82;203236.55;501326.52;40.87;-8.122709;-34.906944
Av Hildebrando De Vasconcelos, 1120 - Dois Unidos;Dois Unidos;Av Hildebrando De Vasconcelos;1120;415;5343.6;5381.18;228347.25;207937.61;258084.87;42.82;-8.0578;-34.8829
Rua Jose De Holanda, 854 - Torre;Torre;Rua Jose De Holanda;854;395;8101.12;7935.5;430518.35;87792.66;554952.61;53.14;-8.044784;-34.912373
Av Arlindo Dos Oito Baixos, 179 - Dois Unidos;Dois Unidos;Av Arlindo Dos Oito Baixos;179;389;5415.9;5527.0;232145.01;216761.19;244570.53;42.96;-8.0578;-34.8829
Rua Estado De Israel, 205 - Ilha Do Leite;Ilha Do Leite;Rua Estado De Israel;205;365;6950.47;7754.07;285632.3;46918.9;753212.98;42.81;-8.06452;-34.894845
Rua Democrito De Souza Filho, 156 - Madalena;Madalena;Rua Democrito De Souza Filho;156;357;9563.23;9727.88;805470.41;521754.23;1065944.39;84.26;-8.055108;-34.905953
