"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua caio pereira";"375";"apto 403 edf luar do rosarinho";"460000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,55";"0,02516";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-01-22";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2015";"1"
"rua caio pereira";"341";"apto 0302 edf cristal";"100000.00";"Encruzilhada";"Recife";"PE";"1969";"504,0";"156,45";"0,16666";"Simples";"Apartamento <= 4 Pavimentos";"RESIDENCIAL";"2015-09-10";"Bom";"Apartamento";"0.00";"13269";"-8.034765";"-34.896514";"2015";"1"
"rua caio pereira";"341";"apto 0302 edf cristal";"280000.00";"Encruzilhada";"Recife";"PE";"1969";"504,0";"156,45";"0,16666";"Simples";"Apartamento <= 4 Pavimentos";"RESIDENCIAL";"2015-09-01";"Bom";"Apartamento";"0.00";"13269";"-8.034765";"-34.896514";"2015";"1"
"rua caio pereira";"334";"apto 902 edf essenza rosarinho";"790000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-01-02";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
"rua caio pereira";"334";"apto 1402 edf essenza rosarinho";"853000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-02-25";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
"rua caio pereira";"334";"apto 1501 edf essenza rosarinho";"950000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-09-14";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
"rua caio pereira";"334";"apto 1602 edf essenza rosarinho";"855000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-04-08";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
"rua caio pereira";"334";"apto 1502 edf essenza rosarinho";"810000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-02-04";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
"rua caio pereira";"334";"apto 302 edf essenza rosarinho";"105120.58";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-01-15";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
"rua caio pereira";"334";"apto 401 edf essenza rosarinho";"810000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-11-20";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2015";"1"
