logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
rua caio pereira;375;apto 1002 edf luar do rosarinho;448283,29;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-24;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2026
rua caio pereira;800;apto 2001 edf sainte juliana;820000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-27;Bom;Apartamento;0,00;13269;;;2026
rua caio pereira;800;apto 1603 edf sainte juliana;740000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-10;Bom;Apartamento;205000,00;13269;;;2026
rua caio pereira;800;apto 903 edf sainte juliana;780000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-08;Bom;Apartamento;0,00;13269;;;2026
rua caio pereira;800;apto 1403 edf sainte juliana;840000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-09;Bom;Apartamento;248619,76;13269;;;2026
rua caio pereira;800;apto 1502 edf sainte juliana;750000,00;Encruzilhada;Recife;PE;2017;1295,39;145,8;0,01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-26;Bom;Apartamento;0,00;13269;;;2026
rua belmiro correa;59;apto 902 edf. jardim monet;1000000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-07;Bom;Apartamento;0,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 101 edf. jardim monet;865000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-28;Bom;Apartamento;692000,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 2302 edf. jardim monet;970000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-27;Bom;Apartamento;669200,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 202 edf. jardim monet;980000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-10;Bom;Apartamento;0,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 801 edf. jardim monet;1000000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-20;Bom;Apartamento;700000,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 1901 edf. jardim monet;1008000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-15;Bom;Apartamento;0,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 501 edf. jardim monet;900000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-16;Bom;Apartamento;500000,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 402 edf. jardim monet;1000000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-13;Bom;Apartamento;594212,47;10715;-8.035535;-34.896122;2026
